,0,1,2,3,4,5,6,7,8,9,10,11,12,13
34,INPP5B,CDKL5,ILF2,ARHGAP18,ACAP3,CRACDL,SNX32,MAP7,BTBD3,PIF1,ATP1B1,DOCK9,SDC4,TCF7
35,ENSGALG00000053721.1,PLEKHA5,NKD1,ARHGAP28,ST7,PROX1,DAAM2,ENSGALG00000049622.1,ACAP3,HMX1,ENSGALG00000049622.1,SV2B,ENSGALG00000003605.6,ALDH1A1
36,ENSGALG00000031869.3,ENSGALG00000039659.2,CKMT1B,FAU,SRGAP3,SDCBP,RALB,NEDD8,CERS6,ENSGALG00000005291.6,CENPE,ACVR2A,RNF130,NUAK1
37,ENSGALG00000047342.1,ARHGAP24,MAPKAPK2,MYH9,KCNK2,CDYL2,MTHFR,UBTD2,KHDRBS2,TCF7L2,GTSE1,TMEM108,ANP32E,CPE
38,SLC16A7,KIF25,HDGFL3,RPLP0,LHFPL6,CEP57L1,DLK1,CXXC5,ENSGALG00000034282.2,NECAB3,HMMR,LPCAT2,C1orf159,ABCG1
39,KCNK3,ENSGALG00000015944.6,MB21D2,GREB1,CRACD,SLC4A5,MSRA,ZRANB3,SLC6A1,TEKT1,MAP2,SEPTIN8,PCNT,CTNNAL1
40,ZNF488,ENSGALG00000032066.2,CPE,ANKRD11,GABRG2,ENSGALG00000006723.7,RPL7L1,ZNF804B,LMO3,TXNIP,CDKN2A,TOP2A,HAUS6,ZWILCH
41,SNX32,C14orf132,VSTM2A,ST7,SEZ6L,FGFR3,NETO2,GLDC,SEMA6D,NCALD,KIF2C,TCF12,ZFHX4,ST7
42,ACYP2,MPP4,IQSEC3,SPON1,MYO6,BEGAIN,KTN1,PHOSPHO1,QKI,DKK3,DEAF1,CLMN,HMGB1,NFASC
43,MARCH1,ZNF488,EVL,HSD17B12,ARHGEF12,ENSGALG00000050133.1,CALM2,LPCAT2,CNTLN,SEMA6A,GABRG3,PLCH1,ISL1,ENSGALG00000051082.1
44,ENSGALG00000043556.2,ENSGALG00000032841.3,SCG3,ENSGALG00000055108.1,CCPG1,CASS4,TFAP2D,ARHGAP24,TRAK1,ENSGALG00000055086.1,GNB5,ENSGALG00000010433.7,CNTN3,TENM3
45,KLHL4,RIC3,OLFM1,NCALD,VEGFA,NKAIN4,ENSGALG00000046955.1,PPP2R2B,LAMA5,MTMR2,KIF23,STARD13,ENSGALG00000007381.5,GPM6A
46,CMC2,DCLK1,IMPG2,GAS2L3,YWHAH,PLCL2,ZNF385B,NTRK3,UBL3,CG-16,PHOSPHO1,SEPT7,PAWR,YWHAG
47,ESCO1,PTPRR,ENSGALG00000052764.1,ENSGALG00000001604.6,RFTN1,UBL3,SCRN1,ENSGALG00000054223.1,AP1AR,DPH1,ENSGALG00000038416.2,CDCA7L,IGDCC4,ATP2A2
48,NRF1,CDC42BPA,CDC42BPB,ZEB2,GREB1,SCD,UNC13B,PGM2L1,RNF130,ARMC6,CPE,NHSL1,SAP130,STK38
49,ENSGALG00000008910.6,CLTA,SRRM3,CEP41,ENSGALG00000030908.2,TMEM135,SEMA3C,ZWILCH,ST7,CXXC5,TMEM108,CTBP2,GRM4,BCL2
50,ENSGALG00000049015.1,ENSGALG00000042339.2,U2SURP,CCND1,DDX5,ENSGALG00000030908.2,ESRRG,KIF25,DPP6,ENSGALG00000034584.3,CAPN10,ENSGALG00000045478.2,SRRM3,SPAST
51,NCOA4,SLC44A1,SMAP1,TXNIP,PLXNA2,ENSGALG00000051147.1,NUCKS1,SMAD2Z,SDC4,CDH2,TUBA3E,KIF4B,FAM171B,ENSGALG00000048323.1
52,KIF25,JARID2,TMEM135,GRIK3,PLEKHG5,SNTB1,ENSGALG00000044307.2,SHOC2,ENSGALG00000016908.5,AHSA2,ABCG1,NCAPD3,COPS9,VPS41
53,SESN3,SEMA7A,NIN,ENSGALG00000053028.1,GTF2IRD1,ENSGALG00000007007.7,COX7A2L,HNRNPLL,STMN2,POLQ,GSE1,ENSGALG00000050230.1,ENSGALG00000053344.1,ENSGALG00000031524.2
54,ABCC4,CYLD,SIK1,ACVR2B,RANBP3L,GRM4,FAM20B,CFAP57,IL1RAPL2,RAB2A,RSRP1,FBXO32,EZR,DKK3
55,ESRRG,KIF2A,PODXL,RPL4,TTC9,ENSGALG00000026460.4,SH3GL2,MAP1A,ENSGALG00000043329.2,CEP126,HJURP,LBR,RCAN2,FSTL4
56,DCTN1,KATNIP,ENSGALG00000001035.6,BAZ1B,NSDHL,PDIA5,REEP5,ODC1,ENSGALG00000053028.1,REV1,DKK3,MAD1L1,CERS6,STIL
57,RAD21,LMO4,APP,HOMER2,EPB41,HIVEP3,SESN3,MAP2,TENM3,VWC2,ENSGALG00000006864.6,ADAMTS3,FMNL2,SAMD11
58,CD81,PIK3CD,CRY1,ALDH1A1,ENSGALG00000043329.2,GRAMD4,RASSF8,ABCG1,ENSGALG00000015297.6,ENSGALG00000049007.1,RALGPS2,NIN,ENSGALG00000038755.3,ENSGALG00000040546.2
59,MELTF,FRMD4B,UBE2E3,CHN1,ENSGALG00000006723.7,LZTFL1,MRPS6,SELENOI,KIF13B,LHFPL6,TACC3,ST3GAL1,ENSGALG00000025996.4,ENSGALG00000026460.4
60,KIF2A,NHSL1,ADAM12,NID1,CERS6,COX7A2L,CXCL12,MEIS2,G2E3,HSD17B12,ENSGALG00000051221.1,ONECUT1,ENSGALG00000010316.6,ENSGALG00000051980.1
61,ENSGALG00000037435.2,SESN3,ANKRD11,VPS41,BRINP1,ENSGALG00000010030.6,CAT,SALL1,PDE4D,RALY,NCOA1,SLC24A3,MTFP1,QSOX1
62,ENSGALG00000029446.2,DCTN1,ENSGALG00000035935.2,SMS,CRACDL,RANBP3L,CCNA2,RREB1,NUSAP1,CERS6,ADAMTS3,ZNF804B,PLCH1,PARPBP
63,CYLD,PLS1,ACBD6,SNRPGP15,SAT1,ROCK1,VRK1,RSRP1,E2F3,DCK,VPS41,GNB5,FRRS1,ENSGALG00000028573.3
64,ENSGALG00000029396.3,SDC2,PACSIN2,SYP,TRAK1,CETN3,YAF2,ENSGALG00000002111.7,BRINP1,PLXNB3,NIN,MEIS2,CHRNB3,SETBP1
65,SOX5,SLC24A2,C12orf43,PLXNB3,SRCIN1,SRCIN1,ABCC4,DIXDC1,ADD3,TBX3,ENSGALG00000040546.2,SEPHS2L,SNX2,HAUS8
66,MYO7A,CMC2,CUX2,ATP2A2,TRIM9,CLUH,NTRK3,JARID2,DPF3,ENSGALG00000048828.1,ACVR2B,DTD2,ENSGALG00000047287.1,MAP1A
67,EGFLAM,SYT17,REPS2,PLCL2,MYH9,SUMO2,RAD21,CDC42BPA,SRCIN1,UBE2E3,ENSGALG00000015297.6,ARMC6,SLC4A10,ACSF2
68,GINS3,STARD13,ENSGALG00000008725.6,MGAT5,SEMA6A,MYT1L,ENSGALG00000046938.1,GATSL2,SLCO4A1,ENSGALG00000048883.1,ENSGALG00000045842.2,ENSGALG00000032841.3,RIMBP2,KIF23
69,KLHL36,ABCC4,ZMYND11,ENSGALG00000007030.6,ENSGALG00000046828.1,TCP11X2,H2AFY2,SEPTIN8,PAWR,TM9SF2L,GPM6A,ENSGALG00000042339.2,ENSGALG00000034282.2,EIF1
70,NETO2,SLC23A2,PBX3,RPL36AL,ENSGALG00000035769.2,SEMA6A,PLXNB2,HDGFL3,NETO1,ENSGALG00000014857.6,RPL4,MARCH1,SEMA6D,SFMBT2
71,ETFA,ENSGALG00000050061.1,ABCA1,SIRT6,CPE,TFAP2E,KANK1,DZIP1,HIVEP3,SERINC1,STK38,FAM49A,RBM10,TEKT1
72,ENSGALG00000032841.3,ANK2,NYAP2,ENSGALG00000048883.1,NEDD1,GTF2IRD1,INPP5K,TCP11X2,FAM76B,FANCB,FANCB,IMPG2,NUAK1,DEPDC1B
73,KANK1,MAP4K4,ENSGALG00000049301.1,MXI1,CDK6,IGDCC4,ENSGALG00000042339.2,ST18,ENSGALG00000014960.6,KIF20A,MAST4,UBTD2,PDLIM4,NCALD
74,TOPBP1,THRB,FKBP1B,ENSGALG00000055086.1,CRNKL1,PEX5L,ENSGALG00000014897.7,KIFAP3,IGDCC4,ENSGALG00000014960.6,CTTNBP2,ENSGALG00000049264.1,SRCIN1,SNX2
75,IGFBP2,DLK1,PCNT,TTC9,FRMD3,SCG3,TFDP2,Pou5f3,CRACDL,KIF18A,MB21D2,EZH2,TFAP2E,SPHKAP
76,VRK1,PPP2R5A,EFNB1,ENSGALG00000050568.1,AXL,AGFG1,CCDC25,ZFHX3,KCNK2,TOB2,TMEM135,KLHL35,ENSGALG00000047664.1,ENSGALG00000053422.1
77,ENSGALG00000049452.1,DTL,TMOD2,ENSGALG00000034282.2,ABLIM2,BRCA2,FH,STARD13,ZWILCH,CENPP,BAZ1B,U2SURP,NRXN1,DAAM1
78,EXO1,LHX4,ANK3,TBX3,ENSGALG00000051147.1,IL1RAPL2,ATP5S,PLEKHA5,MSMO1,NKAIN2,NTM,BCL2,KCTD15,PBX1
79,CA10,ENSGALG00000049908.1,ENSGALG00000048323.1,ENSGALG00000003861.7,FRMD4A,SEMA6D,ACBD6,ENSGALG00000006864.6,PPP1R13B,SPON1,DZIP1,ENSGALG00000011296.6,TBC1D31,ENSGALG00000034584.3
80,ENSGALG00000013624.6,ENSGALG00000047357.1,ENSGALG00000035769.2,FHIP1A,UTRN,ENSGALG00000014258.6,KLHL36,FBRSL1,CCNA2,PDE6D,ENSGALG00000051473.1,ENSGALG00000053422.1,TRIM9,CCNE1
81,BRD3,RGCC,NOS2,LINGO1,PALM2AKAP2,NGF,PTPRG,BCL2,ENSGALG00000033647.2,CD109,SMAD2Z,RPUSD1,GLDC,SEMA6D
82,MPP4,ENSGALG00000048104.1,GCSH,WFDC1,TSPAN18,RNF130,TOPBP1,SFMBT2,LZTFL1,TK2,MAP1A,SLU7,SIRT6,ST18
83,GTF2B,CSE1L,HAUS6,GNB5,PAG1,SASH1,IGSF11,RASGRF2,TRIM2,FAM76B,TENM1,ENSGALG00000048321.1,WSB1,OLFM1
84,ENSGALG00000042339.2,ENSGALG00000003861.7,ATAD2,SAMD11,NOL4L,EPS8,ETFA,HAUS8,CCNF,ARHGAP18,ANLN,KCNH6,C4orf48,CERS6
85,YAF2,SLC16A7,EPHB1,CADM1,SNCAIP,KCTD15,IGFBP5,PMEPA1,TNC,SIX6,UTRN,CDC42BPA,EP400,MAD1L1
86,PTPRR,DAAM2,GNAO1,PCDHGC3,ILF2,YWHAH,VGLL3,FAM76B,SPSB4,VEGFA,EPHX2,NDRG1,RASA3,ENSGALG00000032373.2
87,CLVS2,MAP7,RHEB,SDK1,ENSGALG00000052764.1,DDRGK1,ENSGALG00000054047.1,PTN,GABRG2,HMMR,SFMBT2,CPE,NDUFB7,PCDHGC3
88,TUBGCP5,SLU7,CDH2,HEY1,SRRM3,SLC4A10,ENSGALG00000054436.1,NHSL1,SASH1,DLL1,SETBP1,ENSGALG00000050759.1,ATAD2,TDP1
89,SH3BP2,BICDL1,FBXO2,PROX1,PAWR,HP1BP3,RFC1,DOCK9,TENM1,DNAJB4,BZW2,ENSGALG00000046776.1,ENSGALG00000054223.1,EPHB1
90,PDIA3,ANTXRL,BCAP29,MAD1L1,ONECUT2,SORCS1,TRPM3,ENSGALG00000053275.1,CLUH,DYNC1I1,SOS2,GREB1L,TPM1,DIPK2A
91,LRRTM4,GALNT1,MYO6,SPAST,SLC4A10,SEPTIN9,KLHL9,PIK3CD,PAG1,ENSGALG00000049622.1,SLC24A3,PTPN5,ZNF804A,UTRN
92,DPYSL4,CDC42BPB,ENSGALG00000003605.6,GPM6A,SEPHS2L,ATP10D,SASS6,GPM6B,ENSGALG00000045478.2,ANLN,DCLK3,PLCH2,ENSGALG00000035935.2,KIF2C
93,RASGRF2,SIPA1L1,TPD52L1,RAB6A,DYNC1I1,PLEKHA6,CYLD,MAD1L1,SCD,DUSP16,ZWILCH,NCAPD2,NUP50,PAM
94,ENSGALG00000008940.8,ENSGALG00000012770.6,CADM2,SAP130,ENSGALG00000007007.7,IGF2BP2,NUP50,ENSGALG00000022804.4,LRRK2,GREB1,ENSGALG00000045478.2,KIF23,QKI,PRR11
95,SASS6,PANK1,RPGRIP1L,ENSGALG00000048936.1,SCG3,PRKD3,GTF2B,ARHGAP12,GRIA3,SLX4IP,STIL,DGKH,BCL2L1,TMEM71
96,CDKL5,CEP192,EPB41,ENSGALG00000034584.3,ENSGALG00000007030.6,CPAMD8,MSANTD1,SEPTIN3,ENSGALG00000053344.1,RALGAPA1,ECT2,CABP1,ENSGALG00000041622.2,PKDCC
97,RIC3,KLHL35,ENSGALG00000048962.1,MTMR2,CD164L2,ENSGALG00000042375.2,RAD54L,DIPK2A,EVL,ARHGAP28,HP1BP3,MXI1,TBL1X,UBE2E3
98,TMEM132C,WWC2,RAD54L,SAT1,MAP1A,SH3KBP1,PTBP3,UBE2H,GRAMD4,CPNE4,E2F3,PCDHGC3,SETBP1,TPD52L1
99,CXCL12,ENSGALG00000015618.6,ENSGALG00000053050.1,PTN,WSB1,ARHGAP26,DPYSL4,MPL,AGFG1,NID1,DOCK9,SLC4A4,ENSGALG00000041015.3,HP1BP3
