,0,1,2,3,4,5,6,7,8,9,10,11,12,13
30,HSP90AA1,RBP3,PTPN12,BRD3,ABLIM1,EPHA5,RALGPS2,RELT,ENSGALG00000051147.1,ENSGALG00000048916.1,BTBD8,CTBP2,LMAN1L,ENSGALG00000051397.1
31,ARPP19,NTNG2,PRDM1,TOX3,ATRN,ENSGALG00000007110.6,RHEB,CCND2,KCNK10,TRABD2B,ARHGAP11B,NECAB3,NAV2,TCF7
32,SESN3,DCLK1,ZEB1,RPLP0,ENSGALG00000050127.1,ENOX1,KRAS,HS6ST1,ANAPC7,HSP90B1,THRB,ENSGALG00000049622.1,SNRPGP15,DCX
33,ENSGALG00000031869.3,IDH3A,CPE,ANK3,ENSGALG00000054172.1,ENSGALG00000047015.1,KCNJ8,MAP7,CDYL2,ENSGALG00000048828.1,ENSGALG00000015692.7,TLE5,CYTH1,ITSN2
34,LRP2,RREB1,ODC1,MAF,UBL3,SLIT2,ACYP2,ADAMTS3,MEGF10,SIX6,CDC42BPB,GPM6B,ENSGALG00000053344.1,ENSGALG00000053225.1
35,PLCG1,ANK2,CAVIN4,ENSGALG00000053769.1,ZEB2,CCNK,WRAP73,MAML2,TMEM263,MAF,CPE,ACTR10,RASSF2,KAT2B
36,ENSGALG00000050054.1,DCLK2,ABCA1,NR3C2,ONECUT2,ADD3,ENSGALG00000008910.6,SORBS2,PLEKHD1,ANK3,MBTD1,SLC16A7,SYBU,MOV10L1
37,DAAM2,SH3GL2,NCOA1,RPL4,ZFAND3,SH3PXD2B,ABCC5,SV2B,LRP5,GSE1,PRIMPOL,PPP6R3,ENSGALG00000051496.1,CXCR7
38,ENSGALG00000007268.6,THRB,GPM6A,GPN3,IGDCC4,RIMBP2,DAAM2,CACNA1G,TRAK1,POLQ,ENSGALG00000049260.1,SAMD10,TMEM237,NAV2
39,ACTL6A,PLCG1,BAIAP2L1,NCAPH2,AXL,FGFR3,ENSGALG00000050487.1,GRIK1,ENSGALG00000033089.2,ELMO1,MAP2,NCAPG2,ENSGALG00000050213.1,LFNG
40,ETFA,PTPRR,ENSGALG00000047660.1,SIX6,SORCS1,ENSGALG00000054172.1,ENSGALG00000015297.6,DCTN1,GRM4,ENSGALG00000015692.7,ANLN,SEPTIN8,SPDL1,TENM3
41,ENSGALG00000029446.2,GRIA2,ANK3,ENSGALG00000051397.1,GRIA4,B3GAT1,ENSGALG00000047870.1,MEIS2,ACAP3,MSRB3,ENSGALG00000051082.1,NUCKS1,C4orf48,MBTD1
42,SASS6,ENSGALG00000048875.1,TRPM1,DEAF1,ADK,INA,ZNF385B,SAMHD1,SLIT2,RALGAPA1,DLGAP5,SRGAP3,BRI3,SIX6
43,ACYP2,NHSL1,UST,PDZRN3,GAD2,TMEM263,PDE6B,Pou5f3,GUCY1A2,ENSGALG00000053769.1,SSBP3,ENSGALG00000011164.6,ZFHX3,C8B
44,RGCC,SV2B,EFNB1,GRIK3,GRIN2B,SNRPB2,ENSGALG00000009959.6,TEAD1,PREX1,NCAPH2,GABARAPL1,DCTN1,ISL1,HSP90B1
45,PTPRM,PDE6B,ENSGALG00000054478.1,SHROOM3,COX7A2L,GRIA4,SASS6,MAP1A,SREBF1,TOX3,UBE2H,CENPE,GRIN2B,GPATCH2
46,PTBP3,ENSGALG00000052940.1,TMOD2,FAU,ENSGALG00000034282.2,ZFAND3,FH,POLQ,MEX3A,ENSGALG00000011747.4,PJVK,ENSGALG00000019284.5,MOV10L1,SERINC1
47,GSTA2,IP6K1,IMPG2,FNBP1L,KCTD15,COX7A2L,FARP1,CTNNA1,ELOVL5,BRD3,TACC3,ONECUT1,CCSER2,SETBP1
48,RUNX2,LHX4,SV2B,LPIN2,GREB1,ENSGALG00000046956.1,NTRK3,MAP2,LHFPL6,NECAB3,MSRB3,TTK,MBTD1,CCSER2
49,GPR158,SEMA3A,YWHAH,ENSGALG00000050213.1,RARB,NOS1AP,DDX3X,HTRA1,ENSGALG00000042533.2,ITGA2,NCOA1,SMAP1,KIF13B,STC2
50,ENSGALG00000048972.1,SDC2,DPYSL3,CDK6,ARHGAP19,RANGAP1,HSP90AA1,SNRK,ONECUT2,ENSGALG00000055108.1,ABCA4,NHSL1,TSPAN18,ANKFN1
51,HK1,CTTNBP2,PTPRG,TRABD2B,C1QTNF4,ENSGALG00000010030.6,ENSGALG00000050054.1,DIXDC1,ENSGALG00000050213.1,DAAM1,HS6ST1,PRPSAP2,ENSGALG00000051214.1,TOX
52,DPYSL4,KCNH4,PTPRF,TTYH3,YWHAH,CDK6,MCF2L2,PHTF2,ADD3,AKAP8,CDKN1B,GREB1L,SVIL,ENSGALG00000015692.7
53,PTPRR,RAPGEF5,IQSEC3,RPL36AL,FAM76B,ENSGALG00000050213.1,MTSS1,PRDM1,CCPG1,TLE3,ENSGALG00000010718.6,ENSGALG00000010433.7,CELF5,BORA
54,MARCHF4,DEK,TM9SF2L,CCND2,ENSGALG00000053225.1,UBL3,GUCY1A2,STAMBP,PRKD3,RPL4,BRD3,ZNF609,SRRM3,TBX3
55,ENSGALG00000051546.1,GPR158,EPB41,CXADR,HIVEP3,GRIA3,ZNF488,DEAF1,CNTLN,SETBP1,ATP1B1,CPLANE1,TOX,CCPG1
56,ANKRD33B,PKN2,RHEB,SMS,ENSGALG00000043329.2,CDKN1B,Pou5f3,ENSGALG00000040269.2,PRIMPOL,ENSGALG00000051397.1,TNFRSF21,DHFR,TMOD3,DNMT3A
57,ITGA4,PLCH2,ABCC5,WFDC1,ZNF644,PTPRG,KCNK3,CDC14A,SPATS2L,ARHGAP18,ERH,SH3KBP1,MRPL9,ENSGALG00000007007.7
58,DEK,ENSGALG00000053275.1,ENSGALG00000051550.1,NKAIN2,ACAP3,SLC4A5,TTL,NRIP1,ENSGALG00000007118.6,CERS1,KIF2C,SRRM3,ENSGALG00000006009.7,FSTL4
59,GLCCI1,HSP90AA1,PTPRS,BTBD8,OGT,NSMF,STK38L,GREB1L,RIMBP2,ILF2,RACGAP1,CLMN,ZNF804A,CASP8AP2
60,GTF2B,ENSGALG00000016570.6,TRAIP,HIP1R,ENSGALG00000008054.6,ENSGALG00000050127.1,MARCHF4,ESCO1,ITSN2,DOK5,ENSGALG00000013565.6,ZFYVE1,SYT1,BTBD8
61,ENSGALG00000035217.2,SALL1,UNC5B,PREX1,SNX2,PER2,ALDH7A1,PHF14,NRG1,PDZRN3,CSNK1D,FAM49A,MEIS1,ODAD2
62,MIS18A,ENSGALG00000053296.1,ENSGALG00000050133.1,VGLL4,MSRA,NUP50,VRK1,INSIG1,BARHL2,KIF2C,BRINP1,STX3,GPN3,GNAO1
63,NCS1,FAM126A,CDC42BPB,SDK2,PDE6D,KIRREL1,SUSD4,ZFYVE1,PDE9A,BRI3,SOS2,APP,GINS3,HMGB1
64,ARHGAP10,TCERG1,SMAP1,TUBA3E,UBE2E3,ELOVL5,ZEB2,MXD4,PJVK,CELF5,C12orf75,STRN,MYO18B,ENSGALG00000050213.1
65,LMNB1,KIF5A,MAP4K4,ENSGALG00000046487.2,LANCL3,PMEPA1,SNRPGP15,ARHGAP24,ENSGALG00000054172.1,CCNE1,CENPE,CXXC5,BRD1,FGL1
66,HMP19,DOCK3,HAUS6,PODXL,PLXNB3,NDUFA10,THNSL2,EML4,ENSGALG00000048883.1,RARB,MELK,SOGA1,PLCH1,HSD17B12
67,ALDH7A1,PLS1,PDK4,ENSGALG00000044272.2,GUCY1A2,GRIN2B,ANTXR2,SIRT6,FAM76B,EP400,ENSGALG00000045842.2,SV2B,SEPTIN11,YBX3
68,ENSGALG00000042339.2,MAP4K4,FHL3,EP400,MEGF10,ENSGALG00000051496.1,SLC16A7,ENSGALG00000015692.7,CXADR,MSANTD4,GPM6B,FZD3,ENSGALG00000010316.6,FAU
69,NCOA4,ENSGALG00000053139.1,LHX4,TBX2,NUCB2,FGF13,ETFA,VXN,KIRREL1,ENSGALG00000034584.3,APLP2,ENSGALG00000021092.6,PRRG1,NCAM1
70,EPHA3,GSTA2,VSX2,SPATA17,SLC40A1,MAP1A,TEAD1,ZBTB18,TENM3,CDC14A,PKN1,VXN,ANAPC7,EPHB1
71,ESCO1,DDR1,CIT,RALGAPA1,TEF,ST8SIA4,KTN1,LMO4,SRRM3,FNBP1L,HDGFL3,KIF15,GRK3,CPE
72,EZH2,LYRM9,ENSGALG00000052764.1,CCNE1,SLX4,TMCC3,REEP5,ACVR2A,PDE4D,ENSGALG00000048936.1,TBX3,MAP4K4,CXADR,PAM
73,MPP4,GTF2B,ADAMTS3,CELF5,ENSGALG00000041690.3,ENSGALG00000049851.1,GLCCI1,ENSGALG00000042551.3,IGDCC4,SDK2,SAMD7,LTBP2,ATRN,ENSGALG00000013565.6
74,VRK1,DCTN1,RFC3,CD109,GRIN2A,GALNT10,CCDC25,ENSGALG00000010335.6,FGFR3,TNFAIP8,SH3BGRL,BCL2L1,C14orf132,TUBA3E
75,RASGRF2,ENSGALG00000051546.1,NCOR2,MEGF10,SPATS2L,NUCB2,SYT17,ANK2,NUP58,SERINC1,ENSGALG00000051980.1,ENSGALG00000048883.1,KCTD20,SLC40A1
76,ST8SIA2,EIF4A2,MRPL9,SLC38A2,TTC28,REV1,GAS6,COPS9,TNR,RAB32,ZFYVE1,PLXNB2,ZNRF2,ENSGALG00000043329.2
77,NRF1,ENSGALG00000043556.2,DYNC1I1,ARHGAP18,SH3PXD2B,GAD1,TCF7L2,ADGRB1,FKBP5,GAS2L3,ADGRB1,APLP2,SDC3,NR3C2
78,AKAP12,CPLANE1,CDH2,TLE3,NAV2,MAPK10,PLCG1,DOCK9,ACTR10,KIF14,RANGAP1,RALGAPA1,ENSGALG00000009298.6,FAM49A
79,SELENOK,SRSF5,SLC24A2,RBFOX2,TWF1,SEMA6D,ENSGALG00000025996.4,PHF20,LIN54,TCF7,LANCL3,RBM10,ENSGALG00000051635.1,PARP4
80,SNX32,ENSGALG00000042339.2,FAM49A,CDC14A,ENSGALG00000045305.2,KIF13B,PTBP3,DCTD,DPP6,DLL1,TFAP2D,PRDM1,PAWR,PCDH19
81,DHRS3,ENSGALG00000047629.1,NCALD,PCNT,DPYSL3,NAAA,ABCC4,PKN1,CCNE1,ENSGALG00000053826.1,Pou5f3,ZNF804B,ENSGALG00000055108.1,SCD5
82,KIF2A,PTBP3,BCL2L1,PDS5B,ENSGALG00000035769.2,ENSGALG00000013528.6,NYAP2,RGL1,KIF26A,C8B,GPATCH2,SLC24A3,ENSGALG00000048936.1,ERH
83,PIP4K2A,TMEM170B,FANCG,FRMD4A,TRIM2,BRCA2,ENSGALG00000052153.1,PCMTD1,PARPBP,SLC35E2B,SCN8A,PHOSPHO1,NDUFB2,ENSGALG00000049007.1
84,FGF3,ESCO1,CMC2,COPS9,SRCIN1,SEPTIN8,RBBP8,LPCAT2,BRINP1,ENSGALG00000029680.3,DIXDC1,GRIK1,NAV1,SFXN1
85,TCERG1,CEP170,FAM20B,SLC4A7,ZNF804A,CEP83,RARRES2,ENSGALG00000049260.1,ENSGALG00000041948.3,CXADR,ADAMTS3,SREBF2,ENSGALG00000035769.2,MAP2
86,ENSGALG00000050487.1,HAUS6,TMEM255B,TOX2,TCF7,RANBP3L,CALB2,PROM1,PON1,COBL,NRIP1,LANCL3,AXL,KLHL35
87,PDE6B,DHRS3,BASP1,NASP,ENSGALG00000054478.1,ENSGALG00000006723.7,BZW2,NDUFB2,GFRA2,DOCK7,BORA,ENSGALG00000031338.3,SLIT2,PLCE1
88,EIF5A2,EAPP,ZC3H13,MYH9,ENSGALG00000028415.3,C1QTNF4,TEKT1,ENSGALG00000008910.6,NAAA,COPS9,SCD5,ENSGALG00000041238.2,ENSGALG00000051547.1,ENSGALG00000053846.1
89,FMN1,SLC24A2,KCNH6,FGFRL1,CXADR,ENSGALG00000045305.2,SESN3,PLPP3,GREB1,KIF24,CHD7,PRIMPOL,SLC4A8,NCALD
90,RALGPS2,KLF6,SLC24A3,ADK,TFAP2C,ANK3,DBF4,KIF21B,NSMF,ODAD2,ZMYND11,MTF2,ENSGALG00000004322.6,VSX2
91,CCNG1,ENSGALG00000050742.1,GPRC5B,C12orf75,INA,GRIN2A,RS1,IGF2BP2,ENSGALG00000007110.6,CEP126,TNFAIP8,ABCC5,C5orf24,MEIS1
92,TFDP2,PIM3,PPL,RARB,ENSGALG00000046956.1,MGAT5,PANK1,CCNB1,ZEB1,CCSER2,KIF14,ENSGALG00000013565.6,ENSGALG00000050133.1,CXADR
93,TDP1,SESN3,GALNT9,ENSGALG00000048916.1,UBE2T,VPS41,NT5C2,NAV1,SEPTIN11,ENSGALG00000044272.2,C12orf43,ENSGALG00000049002.1,ENSGALG00000048913.1,KCTD20
94,ENSGALG00000047307.1,IGSF11,DACH2,HS6ST1,WSB1,SUSD4,RUNX2,PRIMPOL,ENSGALG00000034584.3,RBBP4,TEAD1,ACAP2,B3GAT1,ATAD2
95,KCNK3,KCNH6,CADM1,SEPTIN11,TMCC3,QSOX1,ITGA4,ZNF804B,TTC28,CTNNAL1,SLC4A7,HTRA1,COPS9,CFC1
96,ENSGALG00000032941.3,TIAM2,VOPP1,NCAM1,SLIT2,G2E3,GALNT1,NEURL1,PDAP1,RELT,MMS22L,PTPRF,DOCK7,PARPBP
97,EML5,DBF4,ADAM12,TNFSF10,USP45,ADGRB1,DEK,NHSL1,CLVS1,STMN2,CTBP2,PODXL,IQSEC3,NRIP1
98,MAPK12,CD47,LAPTM4B,CCSER2,ENSGALG00000053344.1,SEPTIN9,ENSGALG00000042339.2,ENSGALG00000037717.3,MBNL3,KAT2B,ENSGALG00000051051.1,EML4,MSANTD1,BRD3
99,ENSGALG00000033919.2,ENSGALG00000015944.6,SEPTIN8,CSE1L,TRAF3IP1,ACAP3,ENSGALG00000032373.2,ENSGALG00000053275.1,GABARAPL1,TBX2,VRK2,ENSGALG00000048418.1,PREX1,ADTRP
